,bps,买成交数量,买成交额,卖成交数量,卖成交额
002511,179.62393980156978,12950.0,259452.61,12950.0,264113.0
002544,-83.53147873377375,7180.0,96646.20000000001,7180.0,95838.90000000001
002557,178.272069952341,10086.0,559887.4800000001,10086.0,569868.7100000001
002563,-34.41899015495409,15880.0,118672.86000000002,15880.0,118264.4
002572,199.58038421713954,27998.0,681280.38,27998.0,694877.3999999999
002583,-387.84872628251145,17100.0,124270.1,17100.0,119450.29999999997
002589,-40.89219330855154,19600.0,105448.0,19600.0,105016.79999999999
002595,-3.857474679672679,11238.0,207908.04,11238.0,207827.83999999997
002603,1.9602277457786421,18884.0,516470.60000000003,18884.0,516571.83999999997
002625,-120.26736782503322,15700.0,120448.3,15700.0,118999.70000000001
002635,-30.59641231548449,13040.0,287059.80000000005,13040.0,286181.5
002640,-216.57266091572592,19800.0,108504.0,19800.0,106154.1
002648,-83.43968132641488,10800.0,148490.5,10800.0,147251.5
002653,76.83432005340052,5980.0,138164.81999999998,5980.0,139226.40000000002
002665,-75.7575757575757,35400.0,93456.0,35400.0,92748.0
002670,32.73944008262531,33400.0,298007.54,33400.0,298983.2
002690,-36.50570336239278,7480.0,336517.27999999997,7480.0,335288.80000000005
002701,-11.899769937782079,26400.0,105884.40000000001,26400.0,105758.4
002709,-2.2661647909416605,9480.0,270324.55999999994,9480.0,270263.30000000005
002745,-107.78352058868457,9690.0,127579.8,9690.0,126204.69999999998
002797,-22.30416019005088,53620.0,378090.9,53620.0,377247.6
002807,-24.33090024331119,79600.0,327156.0,79600.0,326359.99999999994
002815,-55.243841371811484,10350.0,204692.5,10350.0,203561.70000000004
002818,-97.58716892152464,3560.0,42833.50000000001,3560.0,42415.49999999999
002821,150.8929158778094,3626.0,769498.02,3626.0,781109.2000000001
002831,-144.76753577675527,10790.0,287861.5,10790.0,283694.19999999995
002839,-33.519613503576466,41110.0,221870.1,41110.0,221126.40000000002
002867,-24.76675374526782,8975.0,187570.0,8975.0,187105.45
002901,20.587265180223024,1876.0,168142.78,1876.0,168488.94
002920,267.5332241201089,6450.0,348797.8,6450.0,358129.30000000005
002925,-97.23380496699407,4240.0,212241.0,4240.0,210177.30000000002
002926,-4.521524318632508,23500.0,246930.0,23500.0,246818.35
002936,-25.90673575129543,35300.0,136258.0,35300.0,135905.0
002941,18.85124556676221,6360.0,93892.99999999999,6360.0,94069.99999999999
002946,122.21833388054159,11280.0,203457.19999999998,11280.0,205943.82
002948,-30.18108651911433,31400.0,156058.0,31400.0,155587.0
002957,-25.49149482543589,1940.0,47859.10000000001,1940.0,47737.10000000001
300001,-55.13281560070138,15480.0,314545.88,15480.0,312811.69999999995
300002,-28.551844520562362,41940.0,263275.45999999996,41940.0,262523.76
300009,145.2308999031837,18036.0,268057.28,18036.0,271950.3
300010,-56.903646941959266,13740.0,239597.99999999997,13740.0,238234.6
300012,108.3963802847343,28400.0,511386.07999999996,28400.0,516929.31999999995
300017,-110.0714278845627,36830.0,301576.9,36830.0,298257.4
300024,-93.69025067440751,23050.0,308329.84,23050.0,305441.09
300026,0.16534391534372972,32400.0,163296.0,32400.0,163298.7
300058,118.82625883771868,54596.0,407480.64,54596.0,412322.57999999996
300070,-137.57029981928736,36111.0,296186.75,36111.0,292112.1
300072,-158.7120037220835,24800.0,103168.0,24800.0,101530.6
300088,-191.17233255325772,45600.0,457733.6,45600.0,448983.0
300113,-153.76326020538178,7990.0,162729.38,7990.0,160227.19999999995
300115,-107.3491077463673,13910.0,273296.17,13910.0,270362.36000000004
300133,-236.99789753236723,22540.0,166280.80000000002,22540.0,162339.98
300134,-26.66584147957618,12010.0,168042.7,12010.0,167594.6
300166,1.5198043743103185,17120.0,249374.2,17120.0,249412.10000000003
300168,39.35343820700376,28030.0,557882.64,28030.0,560078.1
300180,15.711900597155104,23870.0,204488.31,23870.0,204809.6
300182,-82.51580834474636,37130.0,178608.2,37130.0,177134.4
300197,-189.39393939394145,28700.0,75768.0,28700.0,74332.99999999999
300207,-240.88827383338173,25925.0,421295.30999999994,25925.0,411146.8
300212,3.1855983001705113,8256.0,403503.48,8256.0,403632.0200000001
300244,20.85314022427509,16670.0,463958.89999999997,16670.0,464926.39999999997
300251,12.529478710798791,21200.0,255693.0,21200.0,256013.37000000002
300253,139.60062500730785,34530.0,797353.8799999999,34530.0,808484.9900000001
300257,-386.8985401205527,7530.0,91843.2,7530.0,88289.8
300271,49.749679072015326,21614.0,586315.3400000001,21614.0,589232.24
300274,71.52641281489514,21240.0,247412.1,21240.0,249181.75
300285,-185.82569444370313,19641.0,505066.86000000004,19641.0,495681.42
300296,-96.99553660648897,31900.0,195143.0,31900.0,193250.19999999998
300315,-98.4281042304036,50030.0,331765.0,50030.0,328499.5
300316,39.46463766160369,12950.0,292231.24,12950.0,293384.5200000001
300324,-278.72164181627636,21920.0,141969.6,21920.0,138012.6
300357,107.30518532913402,9742.0,546489.9,9742.0,552354.02
300376,-34.74952572996126,31800.0,154131.6,31800.0,153596.0
300418,-6.997265614469006,18140.0,409945.85,18140.0,409659.00000000006
300459,-275.7340451346768,31700.0,82420.0,31700.0,80147.4
300474,-14.984397260660032,2900.0,180320.9,2900.0,180050.7
300482,62.73723125928221,10067.0,833527.3799999999,10067.0,838756.7000000002
300496,13.407578243203044,8740.0,518318.81000000006,8740.0,519013.75
