,000008,600167,600195,600216
2020-06-02 09:49:15.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:18.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:21.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:24.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:27.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:30.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:33.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:36.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:39.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:42.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:45.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:48.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:51.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:54.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:57.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:00.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:03.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:06.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:09.000,3.0,15.17,14.72,16.63
2020-06-02 09:50:12.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:15.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:18.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:21.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:24.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:27.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:30.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:33.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:36.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:39.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:42.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:45.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:48.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:51.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:54.000,3.01,15.17,14.72,16.63
2020-06-02 09:50:57.000,3.01,15.15,14.72,16.63
2020-06-02 09:51:00.000,3.01,15.15,14.72,16.63
2020-06-02 09:51:03.000,3.01,15.15,14.72,16.63
2020-06-02 09:51:06.000,3.01,15.15,14.69,16.63
2020-06-02 09:51:09.000,3.01,15.15,14.7,16.63
2020-06-02 09:51:12.000,3.0,15.15,14.7,16.63
2020-06-02 09:51:15.000,3.01,15.15,14.71,16.63
2020-06-02 09:51:18.000,3.01,15.15,14.71,16.63
2020-06-02 09:51:21.000,3.01,15.15,14.71,16.63
2020-06-02 09:51:24.000,3.01,15.15,14.71,16.63
2020-06-02 09:51:27.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:30.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:33.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:36.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:39.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:42.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:45.000,3.0,15.16,14.71,16.63
2020-06-02 09:51:48.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:51.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:54.000,3.01,15.16,14.71,16.63
2020-06-02 09:51:57.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:00.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:03.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:06.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:09.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:12.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:15.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:18.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:21.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:24.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:27.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:30.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:33.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:36.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:39.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:42.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:45.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:48.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:51.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:54.000,3.01,15.16,14.71,16.63
2020-06-02 09:52:57.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:00.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:03.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:06.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:09.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:12.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:15.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:18.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:21.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:24.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:27.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:30.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:33.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:36.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:39.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:42.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:45.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:48.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:51.000,3.01,15.16,14.71,16.63
2020-06-02 09:53:54.000,3.01,15.17,14.71,16.63
2020-06-02 09:53:57.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:00.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:03.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:06.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:09.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:12.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:15.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:18.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:21.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:24.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:27.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:30.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:33.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:36.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:39.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:42.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:45.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:48.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:51.000,3.01,15.17,14.71,16.63
2020-06-02 09:54:54.000,3.01,15.17,14.71,16.63
